,name,brand,color,fuel,accident,price,mile,model
6664,CLA-클래스 C117,벤츠,쥐색,가솔린,무사고,3340,17495,CLA250 4MATIC AMG Line
6665,S-클래스 W222,벤츠,검정색,가솔린,무사고,13400,19525,S560L 4MATIC
6666,더 뉴 K7,기아,흰색,가솔린,단순사고(접촉),1110,96292,2.4 GDI 프레스티지 스페셜
6667,그랜저 HG,현대,검정색,가솔린,무사고,900,143268,HG240 럭셔리
6668,더 뉴 말리부,쉐보레(GM대우),쥐색,디젤,무사고,2090,33970,1.6 디젤 LT프리미엄
6669,LF 쏘나타,현대,청색,가솔린,무사고,1520,78601,2.0 터보 스마트
6670,쏘나타 DN8,현대,쥐색,가솔린,무사고,2360,32246,2.0 가솔린프리미엄 패밀리
6671,XM3,르노삼성,흰색,가솔린,무사고,2180,28917,가솔린 터보 1.3RE 시그니쳐
6672,그랜저 HG,현대,검정색,가솔린,무사고,1570,25667,HG240 모던
6673,더 뉴 아베오 세단,쉐보레(GM대우),빨간색,가솔린,무사고,810,71166,1.4 터보 LT
6674,아반떼 AD,현대,쥐색,가솔린,무사고,1510,50040,1.6 GDI 모던세부등급 없음
6675,아반떼 AD,현대,빨간색,가솔린,단순사고(접촉),1420,28562,1.6 GDI 밸류 플러스
6676,X6 (F16),BMW,진주색,디젤,무사고,5360,77933,xDrive 30d
6677,팰리세이드,현대,청색,가솔린,무사고,3960,47002,가솔린 3.8 4WD프레스티지 (7인승)
6678,G80,제네시스,검정색,가솔린,단순교환,2290,100871,3.3 GDI럭셔리
6679,그랜저 HG 하이브리드,현대,흰색,가솔린+전기,단순교환,1990,65556,프리미엄
6680,더 뉴 K7,기아,흰색,가솔린,단순교환,1610,54782,2.4 GDI 프레스티지
6681,싼타페 더 프라임,현대,진주색,디젤,무사고,2200,72398,디젤 2.0 2WD익스클루시브 스페셜
6682,아반떼 AD,현대,쥐색,가솔린,무사고,1480,40854,1.6 GDI 모던세부등급 없음
6683,아반떼 AD,현대,빨간색,가솔린,단순교환,1180,34692,1.6 GDI 스마트세부등급 없음
6684,그랜드 체로키,지프,흰색,디젤,무사고,2810,84000,3.0 디젤 오버랜드WK2
6685,니로,기아,은색,가솔린+전기,무사고,2140,19835,프레스티지
6686,쏘나타 뉴 라이즈 하이브리드,현대,검정색,가솔린+전기,무사고,2150,44698,프리미엄세부등급 없음
6687,그랜저 HG,현대,흰색,가솔린,무사고,1480,70452,HG240 모던
6688,S-클래스 W222,벤츠,검정색,디젤,단순교환,7230,89825,S350L d 4MATIC
6689,그랜저 IG,현대,쥐색,가솔린,단순교환,2240,68529,2.4 프리미엄세부등급 없음
6690,더 뉴 K3,기아,흰색,가솔린,무사고,1120,65081,디럭스
6691,그랜드 스타렉스,현대,은색,디젤,단순교환,1640,85207,3인승 밴스마트
6692,그랜저 HG,현대,검정색,LPG,무사고,1820,73084,LPG HG300 익스클루시브
6693,그랜저 IG,현대,검정색,가솔린,무사고,2080,92042,2.4 프리미엄스페셜
6694,K7 하이브리드,기아,흰색,가솔린+전기,무사고,1620,90860,700h 프레스티지
6695,올 뉴 쏘렌토,기아,검정색,디젤,무사고,2140,81777,디젤 2.0 2WD노블레스
6696,G80,제네시스,검정색,가솔린,무사고,3910,54808,3.3 GDI AWD프레스티지
6697,투싼 하이브리드 (4세대),현대,쥐색,가솔린+전기,무사고,3920,14485,인스퍼레이션
6698,올 뉴 K7,기아,쥐색,가솔린,무사고,2290,27480,3.0 GDI 프레스티지
6699,아반떼 AD,현대,은색,디젤,무사고,1280,80886,1.6 e-VGT 스마트스페셜
6700,G80,제네시스,검정색,가솔린,사고,3120,69118,3.3 GDI AWD럭셔리
6701,올 뉴 말리부,쉐보레(GM대우),진주색,가솔린,무사고,1740,80937,2.0 터보 LTZ프리미엄
6702,모하비,기아,검정색,디젤,무사고,1910,111220,4WD KV300세부등급 없음
6703,G80,제네시스,검정색,가솔린,단순교환,3590,57132,3.3 GDI AWD프레스티지
6704,GV70,제네시스,쥐색,가솔린,무사고,5180,2409,가솔린 터보 2.5스포츠 2WD
6705,더 뉴 모하비,기아,검정색,디젤,단순교환,3190,45641,디젤 3.0 4WD프레지던트
6706,K5,기아,쥐색,가솔린,무사고,850,136804,2.0 프레스티지기본형
6707,올 뉴 K7 하이브리드,기아,흰색,가솔린+전기,무사고,3110,33029,노블레스 스페셜
6708,싼타페 TM,현대,청색,가솔린,무사고,3290,26514,가솔린 2.0T 2WD인스퍼레이션
6709,XM3,르노삼성,흰색,가솔린,무사고,2250,13641,가솔린 터보 1.3RE 시그니쳐
6710,뉴 A3 (8V),아우디,쥐색,디젤,단순교환,1830,35158,35 TDI 다이나믹8V
6711,3시리즈 GT (F34),BMW,쥐색,디젤,무사고,4320,14090,GT 320d M 스포츠 프리미엄
6712,K7 프리미어 하이브리드,기아,검정색,가솔린+전기,무사고,3630,32136,시그니쳐
6713,쏘나타 더 브릴리언트,현대,흰색,LPG,무사고,970,80129,LPI 프리미엄 스페셜
6714,CT200h,렉서스,진주색,가솔린+전기,무사고,2190,102170,1.8 슈프림ZWA10
6715,임팔라,쉐보레(GM대우),검정색,가솔린,무사고,2550,29834,3.6 프리미어
6716,싼타페 더 프라임,현대,검정색,디젤,무사고,2350,26268,디젤 2.0 2WD밸류 플러스
6717,트래버스,쉐보레(GM대우),흰색,가솔린,무사고,4240,6322,가솔린 4WD3.6 AWD 프리미어
6718,5시리즈 GT (F07),BMW,흰색,디젤,단순교환,3050,117024,GT ED Edition 럭셔리
6719,팰리세이드,현대,흰색,가솔린,무사고,5140,5106,가솔린 3.8 2WDVIP (7인승)
